Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
6,38th Ave,40.749899,-73.868826,1632,100,1
6,E 12th St,40.5831065,-73.9573412,1648,101,1
6,E 74th St,40.7710532,-73.9596512,1619,98,1
6,160th St,40.7338809,-73.8078846,1722,105,1
6,41st Rd,40.7555552,-73.8333316,1649,101,1
6,108th St,40.7372401,-73.8518128,1710,104,1
6,41st St,40.7723439,-73.9053335,1725,105,1
6,E 10th St,40.6053075,-73.9625623,1740,107,1
6,W 64th St,40.7751774,-73.9891917,1755,108,1
6,Bedford Park Blvd,40.8726864,-73.887491,1556,96,1
0,Pearl St,40.7132417,-74.0008916,1551,96,1
6,E 61st St,40.616553,-73.916486,1640,101,1
6,Skillman Ave,40.715779,-73.946303,1650,102,1
6,W 44th St,40.7609247,-73.9945259,1559,96,1
6,70th Ave,40.7286207,-73.8257796,1621,99,1
6,83rd St,40.704821,-73.865872,1640,101,1
6,E 68th St,40.6199999,-73.9114888,1641,101,1
6,41st Rd,40.7555552,-73.8333316,1707,103,1
6,89th Ave,40.691706,-73.84924,1742,107,1
6,Madison St,40.703974,-73.904124,1624,99,1
0,Rivington St,40.7204925,-73.9897247,1616,98,1
6,160th St,40.7338809,-73.8078846,1614,98,1
6,Madison Ave,40.7427202,-73.9866348,1823,111,1
0,W 26th St,40.7445213,-73.9907355,1640,101,1
6,Prince St,40.7241951,-73.9977898,1706,103,1
0,165th St,40.701366,-73.791869,1716,104,1
6,Brighton 11th St,40.580222,-73.957523,1615,98,1
6,Prince St,40.7241951,-73.9977898,1743,107,1
6,Eastern Pky,40.6716077,-73.9624286,1554,96,1
6,163rd St,40.707016,-73.798258,1622,99,1
6,W 126th St,40.8150351,-73.9564745,1556,96,1
0,E 29th St,40.6152395,-73.9457135,1557,96,1
6,41st Rd,40.7555552,-73.8333316,1711,104,1
6,56th St,40.6243935,-73.9850787,1626,99,1
6,Southern Blvd,40.8331369,-73.8902783,1804,109,1
6,Bronxdale Ave,40.8516256,-73.8678673,1844,113,1
6,Grand St,40.7181616,-73.9937839,1657,102,1
6,E 188th St,40.859874,-73.893215,1739,106,1
6,51st St,40.7534706,-73.9097189,1655,102,1
6,Fulton St,40.7102369,-74.0078096,1612,98,1
6,Liberty Ave,40.6744049,-73.8965126,1713,104,1
6,Hancock St,40.58893,-74.095247,1635,100,1
6,Spring St,40.7256722,-74.0040023,1630,100,1
6,162nd St,40.7338762,-73.8077853,1652,102,1
6,E 14th St,40.608383,-73.959157,1648,101,1
6,E 91st St,40.6485054,-73.9138557,1711,104,1
6,E 98th St,40.786562,-73.948517,1557,96,1
6,82nd St,40.610196,-74.001554,1623,99,1
6,Liberty Ave,40.6744049,-73.8965126,1556,96,1
6,Sanford Ave,40.7546729,-73.8331797,1624,99,1
6,171st St,40.755736,-73.796126,1759,108,1
6,59th St,40.6414239,-74.0178046,1711,104,1
6,90th Ave,40.704876,-73.80099,1721,105,1
6,Murray St,40.768755,-73.813057,1819,110,1
6,Greenwich St,40.7156024,-74.0111062,1624,99,1
6,Forest Ave,40.7043972,-73.903074,1745,107,1
6,Woodbine St,40.703277,-73.906024,1712,104,1
6,Cortelyou Rd,40.6414793,-73.963863,1627,99,1
6,Cambridge Ave,40.6111542,-74.1505805,1755,108,1
6,Reade St,40.716193,-74.009201,1824,111,1
6,Manhattan Ave,40.8043463,-73.9572939,1708,103,1
6,Post Ave,40.632795,-74.134043,1646,101,1
6,160th St,40.7338809,-73.8078846,1638,100,1
6,River Ave,40.8195946,-73.930016,1652,102,1
6,Noble St,40.728458,-73.95736,1619,98,1
0,Jamaica Ave,40.6774489,-73.8985116,1551,96,1
6,33rd St,40.7463947,-73.9818293,1641,101,1
6,Jerome Ave,40.8446726,-73.9145136,1843,113,1
6,Broome St,40.7193561,-73.9942647,1726,105,1
6,160th St,40.7338809,-73.8078846,1715,104,1
6,Madison Ave,40.7427202,-73.9866348,1627,99,1
6,83rd St,40.704821,-73.865872,1607,97,1
0,W 59th St,40.7646364,-73.9737661,1624,99,1
6,North Basin Road,40.7485155,-73.9564685,1802,109,1
6,Bainbridge Ave,40.881076,-73.878487,1615,98,1
6,82nd St,40.610196,-74.001554,1621,99,1
6,Weiher Ct,40.826511,-73.909556,1648,101,1
0,Oriental Blvd,40.5780885,-73.9416467,1609,97,1
6,Valentine Ave,40.850253,-73.900694,1722,105,1
6,E 59th St,40.619485,-73.918266,1631,100,1
6,W 26th St,40.7445213,-73.9907355,1713,104,1
6,Mulberry St,40.71933,-73.9973036,1612,98,1
6,E 85th St,40.6356145,-73.9070917,1745,107,1
6,40th Rd,40.7587658,-73.8304174,1733,106,1
6,163rd St,40.707016,-73.798258,1641,101,1
6,W 20th St,40.7434266,-73.9998517,1618,98,1
6,90th Ave,40.704876,-73.80099,1742,107,1
0,Ludlow St,40.7169046,-73.989985,1611,98,1
0,164th St,40.7382043,-73.8045817,1551,96,1
0,Merrick Blvd,40.6741148,-73.73025,1751,108,1
0,Avenue J,40.6251006,-73.9608191,1554,96,1
6,Thompson St,40.6260134,-74.0753496,1610,98,1
6,160th St,40.7338809,-73.8078846,1818,110,1
6,W 72nd St,40.7785652,-73.9815017,1707,103,1
6,168th Pl,40.715934,-73.7966586,1758,108,1
6,Gansevoort St,40.739405,-74.006449,1641,101,1
6,Stanhope St,40.709868,-73.911179,1613,98,1
6,E 70th St,40.620864,-73.909819,1713,104,1
6,Jamaica Ave,40.6774489,-73.8985116,1636,100,1
6,E 8th St,40.7285734,-73.9875926,1742,107,1
6,9th St,40.6703423,-73.9887362,1620,99,1
6,E 16th St,40.595029,-73.954735,1645,101,1
6,St Marks Pl,40.7285734,-73.9875926,1628,99,1
6,Hanson Pl,40.6855056,-73.9742795,1627,99,1
6,Roosevelt Ave,40.746238,-73.897224,1704,103,1
6,Eastchester Rd,40.8767087,-73.8461872,1630,100,1
6,N 5th St,40.7141762,-73.9547917,1716,104,1
6,Lexington Ave,40.7999294,-73.9406665,1716,104,1
0,W 33rd St,40.5726989,-73.9991284,1601,97,1
6,Kent Ave,40.6991108,-73.9604263,1611,98,1
6,Eastern Pky,40.6716077,-73.9624286,1636,100,1
6,Highland Ave,40.5756829,-74.0077269,1810,110,1
6,W 13th St,40.5891517,-73.9828098,1612,98,1
6,E 85th St,40.6356145,-73.9070917,1634,100,1
6,87th St,40.706715,-73.862389,1615,98,1
6,Roosevelt Ave,40.746238,-73.897224,1611,98,1
6,Church Ave,40.6492649,-73.9635215,1727,105,1
0,E 101st St,40.6358306,-73.8867163,1647,101,1
6,Prince St,40.7241951,-73.9977898,1554,96,1
6,Fresh Pond Rd,40.7062234,-73.8959256,1626,99,1
6,6th Ave,40.7497204,-73.987817,1813,110,1
0,160th St,40.7338809,-73.8078846,1610,98,1
6,Roosevelt Ave,40.746238,-73.897224,1724,105,1
6,Lexington Ave,40.7999294,-73.9406665,1622,99,1
6,93rd St,40.750413,-73.874012,1732,106,1
0,W 35th St,40.5722429,-74.0001711,1650,102,1
6,66th Ave,40.7313595,-73.8450199,1637,100,1
6,162nd St,40.7338762,-73.8077853,1633,100,1
6,Broadway,40.892084,-73.8971095,1702,103,1
0,163rd St,40.707016,-73.798258,1601,97,1
6,Avenue T,40.600986,-73.957757,1737,106,1
6,Broadway,40.892084,-73.8971095,1620,99,1
6,163rd St,40.707016,-73.798258,1803,109,1
0,Chestnut Ave,40.617302,-73.963754,1626,99,1
6,Roosevelt Ave,40.746238,-73.897224,1616,98,1
6,162nd St,40.7338762,-73.8077853,1648,101,1
6,98th St,40.651481,-73.833132,1650,102,1
6,E 2nd St,40.602021,-73.970509,1645,101,1
6,W 124th St,40.8057884,-73.9428603,1555,96,1
6,E 68th St,40.6199999,-73.9114888,1612,98,1
6,Noble St,40.728458,-73.95736,1654,102,1
6,Southern Blvd,40.8331369,-73.8902783,1841,113,1
0,Willoughby St,40.6920468,-73.9824338,1637,100,1
6,172nd St,40.764695,-73.793959,1737,106,1
6,Greenwich St,40.7156024,-74.0111062,1626,99,1
6,W 26th St,40.7445213,-73.9907355,1741,107,1
6,Bleecker St,40.7259471,-73.9946797,1628,99,1
6,E 87th St,40.648106,-73.918515,1814,110,1
6,E 87th St,40.648106,-73.918515,1730,106,1
6,Bleecker St,40.7259471,-73.9946797,1740,107,1
6,W 126th St,40.8150351,-73.9564745,1627,99,1
0,Foster Ave,40.6443027,-73.9128939,1631,100,1
6,Prince St,40.7241951,-73.9977898,1659,102,1
0,E 74th St,40.7710532,-73.9596512,1723,105,1
6,Westchester Ave,40.829753,-73.873728,1737,106,1
6,38th Ave,40.749899,-73.868826,1738,106,1
6,Cherry Ave,40.752712,-73.82629,1607,97,1
0,W 59th St,40.7646364,-73.9737661,1617,98,1
6,Jamaica Ave,40.6774489,-73.8985116,1833,112,1
6,W 64th St,40.7751774,-73.9891917,1634,100,1
6,Bronxdale Ave,40.8516256,-73.8678673,1712,104,1
6,Madison Ave,40.7427202,-73.9866348,1616,98,1
6,Kissena Blvd,40.7583334,-73.8293576,1607,97,1
0,E 67th St,40.619409,-73.912071,1619,98,1
0,Suffolk St,40.717157,-73.98704,1604,97,1
6,Nagle Ave,40.8616121,-73.924274,1655,102,1
6,University Pl,40.7351048,-73.9917768,1710,104,1
6,57th Ave,40.7343492,-73.8735708,1655,102,1
6,Madison Ave,40.7427202,-73.9866348,1610,98,1
6,52nd St,40.7453968,-73.9122305,1610,98,1
0,Madison Ave,40.7427202,-73.9866348,1714,104,1
0,Liberty St,40.708614,-74.009371,1632,100,1
6,41st Rd,40.7555552,-73.8333316,1640,101,1
6,41st Rd,40.7555552,-73.8333316,1720,105,1
6,98th St,40.651481,-73.833132,1713,104,1
6,39th Ave,40.7526866,-73.9329357,1625,99,1
6,W 71st St,40.7779978,-73.9822883,1642,101,1
0,Central Park South,40.7646364,-73.9737661,1657,102,1
6,Winthrop St,40.6570982,-73.9502145,1701,103,1
6,E 198th St,40.869063,-73.889128,1608,97,1
6,103rd St,40.7991469,-73.9685289,1619,98,1
