Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
0,Baxter Ave,40.74704,-73.882989,2404,145,1
6,New Utrecht Ave,40.616621,-73.999709,0637,40,1
0,59th St,40.6414239,-74.0178046,0620,39,1
6,Onderdonk Ave,40.702838,-73.905284,0411,26,1
0,Church Ave,40.6492649,-73.9635215,0530,34,1
6,Newbold Ave,40.8321463,-73.8604947,0531,34,1
6,Matthewson Rd,40.8537406,-73.9204415,0018,2,1
6,Jerome Ave,40.8446726,-73.9145136,0453,30,1
6,W 38th St,40.7520914,-73.9854115,0206,13,1
6,Coney Island Ave,40.582634,-73.959993,0032,4,1
6,Jamaica Ave,40.6774489,-73.8985116,0335,22,1
6,E 188th St,40.859874,-73.893215,0452,30,1
6,Allen St,40.722752,-73.9885918,0013,2,1
6,41st St,40.7723439,-73.9053335,2433,148,1
0,E 55th St,40.619249,-73.922072,2453,150,1
6,Bridge St,40.6578093,-73.8305585,2431,148,1
6,Cortelyou Rd,40.6414793,-73.963863,0314,20,1
6,Orchard St,40.7227492,-73.9878545,0027,3,1
6,Ocean Pky,40.6072315,-73.9675403,0638,40,1
0,W 174th St,40.84718,-73.921345,0617,38,1
6,4th Ave,40.7366387,-73.9890162,0647,41,1
6,54th St,40.74686,-73.909675,0620,39,1
6,Atlantic Ave,40.675959,-73.9044359,0032,4,1
6,University Ave,40.8469863,-73.9205513,0033,4,1
0,Matthewson Rd,40.8537406,-73.9204415,0524,33,1
6,Bedford Ave,40.7178272,-73.9577249,0009,1,1
0,E Tremont Ave,40.8416938,-73.8434859,0238,16,1
6,Linden Ave,40.633706,-74.15633,0555,36,1
6,Coney Island Ave,40.582634,-73.959993,0038,4,1
0,College Point Blvd,40.7627837,-73.8355757,2406,145,1
6,Baychester Ave,40.8772758,-73.8363967,0101,7,1
0,E 137th St,40.8102771,-73.9277745,0036,4,1
6,Church St,40.639094,-74.1311054,2431,148,1
0,83rd St,40.704821,-73.865872,2407,145,1
6,Avenue M,40.619918,-73.942664,0055,6,1
6,Beach 114th St,40.5784817,-73.8343645,2427,147,1
6,Washington Park,40.6729565,-73.9848572343073,0619,38,1
6,Grand Ave,40.7303619,-73.8868521,0547,35,1
0,W 59th St,40.7646364,-73.9737661,2441,149,1
0,E 98th St,40.786562,-73.948517,2423,147,1
6,Court St,40.6940745,-73.9917825,0020,3,1
0,Grand Concourse,40.8791041,-73.8845682,0501,31,1
0,Valentine Ave,40.850253,-73.900694,0545,35,1
6,Orchard St,40.7227492,-73.9878545,0016,2,1
6,31st Ave,40.758613,-73.8919252,0558,36,1
6,Morris Ave,40.8113652,-73.9270455,0518,32,1
0,W 174th St,40.84718,-73.921345,0315,20,1
0,Roosevelt Ave,40.746238,-73.897224,2443,149,1
6,De Kruif Pl,40.87535755,-73.8290779591741,0557,36,1
6,Bronx River Ave,40.835383,-73.8782557,0613,38,1
6,E 95th St,40.650448,-73.911101,0648,41,1
6,98th St,40.651481,-73.833132,0626,39,1
0,42nd Rd,40.749424,-73.940535,0626,39,1
0,37th Ave,40.7626091,-73.8267626,2404,145,1
6,Jamaica Ave,40.6774489,-73.8985116,0214,14,1
6,37th Ave,40.7626091,-73.8267626,2457,150,1
6,Washington Ave,40.86038,-73.888886,0447,29,1
6,Coleridge St,40.5771544,-73.9500717,0605,37,1
6,Blondell Ave,40.8406241,-73.8412321,0013,2,1
6,Beach 27th St,40.5961959,-73.7604223,0634,40,1
6,Essex St,40.6570179,-73.8722392,0032,4,1
6,7th Ave,40.7630704,-73.9820256,2430,148,1
6,Walton Ave,40.83644,-73.918412,0524,33,1
0,E 153rd St,40.8210327,-73.9249095,2457,150,1
6,162nd St,40.7338762,-73.8077853,2424,147,1
6,Madison St,40.703974,-73.904124,0618,38,1
0,37th Ave,40.7626091,-73.8267626,2422,147,1
0,E 182nd St,40.85207,-73.889879,0442,29,1
0,138th St,40.7160753,-73.8215639,2412,146,1
0,White Plains Rd,40.8421201,-73.8649883,0532,34,1
0,E Tremont Ave,40.8416938,-73.8434859,0505,31,1
6,Onderdonk Ave,40.702838,-73.905284,0250,18,1
6,Essex St,40.6570179,-73.8722392,0020,3,1
6,Walton Ave,40.83644,-73.918412,0502,31,1
6,New Utrecht Ave,40.616621,-73.999709,0643,41,1
0,55th St,40.624893,-73.984401,0210,14,1
6,E 101st St,40.6358306,-73.8867163,2409,145,1
6,Court St,40.6940745,-73.9917825,0149,11,1
6,Essex St,40.6570179,-73.8722392,0020,3,1
6,157th St,40.8340521,-73.9449538,0245,17,1
0,Roosevelt Ave,40.746238,-73.897224,2454,150,1
6,Cortelyou Rd,40.6414793,-73.963863,0126,9,1
6,80th St,40.6793809,-73.8589845,0615,38,1
6,Atlantic Ave,40.675959,-73.9044359,0034,4,1
6,University Ave,40.8469863,-73.9205513,0057,6,1
6,Atlantic Ave,40.675959,-73.9044359,0034,4,1
0,Westchester Ave,40.829753,-73.873728,0530,34,1
6,Flatbush Ave,40.6093889,-73.9217935,0318,20,1
6,Atlantic Ave,40.675959,-73.9044359,0124,9,1
6,Bowery,40.7172381,-73.9954766,0037,4,1
6,Bowery,40.7172381,-73.9954766,0034,4,1
6,Schermerhorn St,40.6881687,-73.9839805,2420,147,1
6,Essex St,40.6570179,-73.8722392,0007,1,1
0,W Fordham Rd,40.8617237,-73.9106172,0129,9,1
0,Denman St,40.7466175,-73.8747779,0622,39,1
6,Bowery,40.7172381,-73.9954766,0032,4,1
0,Bainbridge Ave,40.881076,-73.878487,0501,31,1
