Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
3,11th Ave,40.7877367,-73.8364261,1640,101,1
5,E New York Ave,40.6734891,-73.9080634,1639,100,1
3,Gerard Pl,40.7224964,-73.849015,1633,100,1
5,W 123rd St,40.8094627,-73.953542,1552,96,1
5,W 92nd St,40.7914959,-73.9722281,1608,97,1
5,E 28th St,40.6073147,-73.9451569,1721,105,1
1,Netherland Ave,40.629038,-74.165375,1724,105,1
2,W 121st St,40.8082079,-73.9544622,1700,103,1
2,E 126th St,40.8033194,-73.9327945,1637,100,1
2,1st St,40.636095,-73.741546,1701,103,1
2,E 144th St,40.8122378,-73.9185283,1558,96,1
4,7th Ave,40.7630704,-73.9820256,1721,105,1
3,Metropolitan Ave,40.7140735,-73.9547586,1750,108,1
3,5th Ave,40.801971,-73.945508,1623,99,1
1,Crosby St,40.7254397,-73.9956638,1605,97,1
5,Rivington St,40.7204925,-73.9897247,1600,97,1
4,Ridge St,40.716953,-73.9842427,1550,96,1
2,Cumberland St,40.6827347,-73.9717945,1558,96,1
3,104th St,40.684239,-73.838078,1633,100,1
2,41st Ave,40.7637566,-73.7700427,1755,108,1
3,W 33rd St,40.5726989,-73.9991284,1639,100,1
5,St Nicholas Ave,40.8316081,-73.9411272,1726,105,1
3,5th Ave,40.801971,-73.945508,1625,99,1
2,83rd St,40.704821,-73.865872,1627,99,1
2,89th Ave,40.691706,-73.84924,1732,106,1
1,Midland Pky,40.7216285,-73.7843918,1621,99,1
3,Woodycrest Ave,40.838685,-73.922977,1753,108,1
3,14th Ave,40.611038,-74.013482,1800,109,1
1,Cooper Ave,40.7018866,-73.8806284,1749,107,1
2,E 243rd St,40.906886,-73.849671,1809,109,1
5,37th Ave,40.7626091,-73.8267626,1704,103,1
3,E 189th St,40.860062,-73.891125,1601,97,1
2,E 29th St,40.6152395,-73.9457135,1616,98,1
1,Newkirk Ave,40.6315893,-73.9716622,1630,100,1
5,46th Ave,40.7537276,-73.8044525,1553,96,1
4,E 41st St,40.623183,-73.933522,1729,105,1
5,Sanford Ave,40.7546729,-73.8331797,1627,99,1
2,Fulton St,40.7102369,-74.0078096,1807,109,1
5,Lillian Wald Dr,40.720305,-73.9773472,1745,107,1
5,Kent Ave,40.6991108,-73.9604263,1612,98,1
1,2nd Ave,40.7843413,-73.9470257,1730,106,1
1,87th St,40.706715,-73.862389,1646,101,1
2,252nd St,40.764364,-73.728911,1746,107,1
5,Greenwich St,40.7156024,-74.0111062,1722,105,1
2,Kissena Blvd,40.7583334,-73.8293576,1617,98,1
4,Sommers Ln,40.611861,-74.120552,1649,101,1
3,Valentine Ave,40.850253,-73.900694,1649,101,1
5,61st St,40.71085,-73.901266,1612,98,1
5,Sutphin Blvd,40.7055897,-73.8100753,1658,102,1
3,E 10th St,40.6053075,-73.9625623,1620,99,1
3,Melrose St,40.7055514,-73.926215,1607,97,1
2,46th Rd,40.755549,-73.77571,1640,101,1
1,36th Rd,40.761363,-73.833802,1701,103,1
5,37th St,40.7716096,-73.910244,1647,101,1
3,193rd St,40.7225706,-73.7736843,1729,105,1
3,Gouverneur St,40.7124981,-73.9837806,1712,104,1
1,Eastchester Rd,40.8767087,-73.8461872,1811,110,1
2,Forest Ave,40.7043972,-73.903074,1834,112,1
4,42nd Rd,40.749424,-73.940535,1555,96,1
3,63rd Ave,40.7231519,-73.8721722,1736,106,1
3,Hancock St,40.58893,-74.095247,1802,109,1
4,60th St,40.696799,-73.896772,1637,100,1
3,Bronx Blvd,40.8779562,-73.8695849,1737,106,1
3,90th St,40.75053,-73.876876,1556,96,1
4,161st St,40.7337777,-73.8077877,1704,103,1
3,E 69th St,40.6203939,-73.910542,1643,101,1
1,Bushwick Ave,40.679677,-73.900752,1606,97,1
2,River Ave,40.8195946,-73.930016,1809,109,1
4,Olmstead Ave,40.816498,-73.850599,1737,106,1
5,W 30th St,40.7463686,-73.9874455,1628,99,1
1,Metropolitan Ave,40.7140735,-73.9547586,1700,103,1
5,Herkimer St,40.6770533,-73.9024403,1603,97,1
2,Roosevelt Ave,40.746238,-73.897224,1635,100,1
1,Crotona Ave,40.8574286,-73.8818533,1824,111,1
4,45th Rd,40.758324,-73.773892,1620,99,1
2,Kingston Pl,40.7124611,-73.790599,1622,99,1
5,Park Ave,40.8056738,-73.9384143,1656,102,1
5,Ocean Ave,40.5835902,-73.9483933,1825,111,1
1,Midland Pky,40.7216285,-73.7843918,1611,98,1
5,Roosevelt Ave,40.746238,-73.897224,1745,107,1
3,Bushwick Ave,40.679677,-73.900752,1614,98,1
2,Kings Hwy,40.607693,-73.960909,1743,107,1
1,Jerome Ave,40.8446726,-73.9145136,1631,100,1
3,Greene St,40.73035,-73.994822,1649,101,1
2,W 25th St,40.5729955,-73.9916599,1742,107,1
2,Linden Blvd,40.6550142,-73.9054843,1644,101,1
4,89th Ave,40.691706,-73.84924,1701,103,1
2,31st St,40.7681197,-73.920358,1618,98,1
1,Ocean Pky,40.6072315,-73.9675403,1737,106,1
5,W 107th St,40.8023277,-73.9681101,1711,104,1
1,Eastchester Rd,40.8767087,-73.8461872,1737,106,1
2,Nostrand Ave,40.6803935,-73.949556,1734,106,1
2,Bainbridge Ave,40.881076,-73.878487,1621,99,1
3,Davis St,40.7444152,-73.9447502,1600,97,1
5,11th St,40.667975,-73.9873,1551,96,1
3,Baxter Ave,40.74704,-73.882989,1841,113,1
3,W 71st St,40.7779978,-73.9822883,1607,97,1
5,W 29th St,40.5741385,-73.9951298,1650,102,1
3,59th St,40.6414239,-74.0178046,1709,103,1
2,59th St,40.6414239,-74.0178046,1641,101,1
2,E 14th St,40.608383,-73.959157,1621,99,1
1,164th St,40.7382043,-73.8045817,1802,109,1
3,4th Ave,40.7366387,-73.9890162,1748,107,1
3,Clarkson Ave,40.6611427,-73.9201132,1741,107,1
5,E 12th St,40.5831065,-73.9573412,1601,97,1
4,Austin St,40.706002,-73.8259549,1642,101,1
5,Mercer St,40.7256842,-73.9977263,1624,99,1
2,E 104th St,40.6372549,-73.8845055,1603,97,1
5,Morris Ave,40.8113652,-73.9270455,1606,97,1
3,E 96th St,40.6425532,-73.9008054,1730,106,1
5,Radcliff Ave,40.7418869,-73.8598926,1554,96,1
5,Grace Ave,40.8804886,-73.8403874,1550,96,1
4,E 130th St,40.8082894,-73.9368805,1718,104,1
5,46th Ave,40.7537276,-73.8044525,1813,110,1
2,39th St,40.640625,-73.986292,1754,108,1
2,Convent Ave,40.8239713,-73.9467212,1558,96,1
5,153rd St,40.6951014,-73.7999838,1657,102,1
3,Nostrand Ave,40.6803935,-73.949556,1658,102,1
2,Archer Ave,40.7004301,-73.8082466,1805,109,1
1,Gramercy Park North,40.738213,-73.9856817,1753,108,1
3,Lefferts Blvd,40.6657772,-73.8223616,1723,105,1
2,Secor Ave,40.8860123,-73.8325371,1725,105,1
1,Orchard St,40.7227492,-73.9878545,1629,99,1
3,Mulvey Ave,40.8894004,-73.828485,1600,97,1
4,38th Ave,40.749899,-73.868826,1832,112,1
2,24th St,40.778282,-73.91633,1658,102,1
3,Central Ave,40.6979465,-73.9266436,1634,100,1
