Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
6,Eastern Pky,40.6716077,-73.9624286,1158,72,1
0,165th St,40.701366,-73.791869,1417,86,1
6,E 8th St,40.7285734,-73.9875926,1411,86,1
0,5th Ave,40.801971,-73.945508,1316,80,1
0,E 14th St,40.608383,-73.959157,1357,84,1
6,38th St,40.7709006,-73.9098041,1418,86,1
6,Broadway,40.892084,-73.8971095,1305,79,1
6,Queens Blvd,40.7127672,-73.8275685,1405,85,1
6,E 13th St,40.588929,-73.956391,1336,82,1
6,Hampton Ave,40.5800972,-73.9458253,1501,91,1
0,Oriental Blvd,40.5780885,-73.9416467,1423,87,1
6,7th Ave,40.7630704,-73.9820256,1323,81,1
6,W 4th St,40.604776,-73.977106,1351,84,1
0,165th St,40.701366,-73.791869,1406,85,1
6,171st St,40.755736,-73.796126,1312,80,1
6,86th St,40.622811,-74.0282979,1424,87,1
0,W 72nd St,40.7785652,-73.9815017,1533,94,1
6,Beach Channel Dr,40.595911,-73.771495,1326,81,1
0,W 42nd St,40.7566568,-73.9884224,1507,91,1
0,Jamaica Ave,40.6774489,-73.8985116,1439,88,1
6,E 18th St,40.609942,-73.955598,1312,80,1
0,W 47th St,40.7631519,-73.993986,1407,85,1
6,E 69th St,40.6203939,-73.910542,1413,86,1
6,41st Rd,40.7555552,-73.8333316,1150,72,1
0,Cliff St,40.7081818,-74.0053321,1306,79,1
0,10th Ave,40.8637912,-73.9194094,1516,92,1
6,Coney Island Ave,40.582634,-73.959993,1348,83,1
0,Berry St,40.71593,-73.961912,1435,88,1
6,Broadway,40.892084,-73.8971095,1342,83,1
0,Langham St,40.5782503,-73.9407513,1348,83,1
6,E 29th St,40.6152395,-73.9457135,1458,90,1
0,3rd Ave,40.8043853,-73.9353347,1545,95,1
0,168th Pl,40.715934,-73.7966586,1545,95,1
0,49th St,40.7605031,-73.9836073,1442,89,1
0,Convent Ave,40.8239713,-73.9467212,1318,80,1
6,30th Ave,40.7666967,-73.9215824,1158,72,1
0,Roosevelt Ave,40.746238,-73.897224,1405,85,1
0,Madison St,40.703974,-73.904124,1507,91,1
6,W 50th St,40.7667398,-73.9966648,1458,90,1
6,Mott St,40.7190494,-73.9964811,1431,88,1
0,3rd Ave,40.8043853,-73.9353347,1301,79,1
0,W 72nd St,40.7785652,-73.9815017,1342,83,1
6,Amsterdam Ave,40.8467328,-73.9318876,1155,72,1
6,5th St,40.6229092,-74.1907603,1327,81,1
6,St Johns Pl,40.6698138,-73.9167897,1401,85,1
6,Queens Blvd,40.7127672,-73.8275685,1442,89,1
0,Stanton St,40.7217186,-73.9893607,1304,79,1
0,Roosevelt Ave,40.746238,-73.897224,1451,90,1
6,41st Ave,40.7637566,-73.7700427,1457,90,1
0,W 34th St,40.7497396,-73.987639,1539,94,1
0,86th St,40.622811,-74.0282979,1446,89,1
0,41st Ave,40.7637566,-73.7700427,1440,89,1
6,Beach 100th St,40.583857,-73.821109,1546,95,1
6,7th Ave,40.7630704,-73.9820256,1352,84,1
6,20th Ave,40.6259884,-73.9762613,1428,87,1
6,6th St,40.669847,-73.982428,1429,87,1
0,Mulberry St,40.71933,-73.9973036,1429,87,1
0,17th Ave,40.782606,-73.7945082,1512,92,1
6,E 85th St,40.6356145,-73.9070917,1314,80,1
6,E 34th St,40.6248167,-73.9426482,1542,95,1
0,66th Ave,40.7313595,-73.8450199,1426,87,1
6,3rd Ave,40.8043853,-73.9353347,1150,72,1
0,98th St,40.651481,-73.833132,1416,86,1
6,82nd St,40.610196,-74.001554,1452,90,1
6,Walton Ave,40.83644,-73.918412,1155,72,1
