Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
6,E 28th St,40.6073147,-73.9451569,1049,65,1
6,Campus Rd,40.630671,-73.948884,1054,66,1
0,14th Ave,40.611038,-74.013482,1031,64,1
6,Morningside Ave,40.8047141,-73.9582435,1043,65,1
6,Park Ave South,40.7366387,-73.9890162,1001,61,1
0,110th St,40.6917011,-73.8356807,1041,65,1
6,Eastern Pky,40.6716077,-73.9624286,1004,61,1
0,Jamaica Ave,40.6774489,-73.8985116,1014,62,1
6,Teller Ave,40.830936,-73.912395,0907,55,1
0,100th St,40.7524106,-73.8672289,0945,59,1
0,E 91st St,40.6485054,-73.9138557,1133,70,1
0,100th St,40.7524106,-73.8672289,0954,60,1
0,39th Ave,40.7526866,-73.9329357,1134,70,1
6,Montgomery St,40.6664718,-73.9605567,0934,58,1
0,Parsons Blvd,40.7073827,-73.8037847,1139,70,1
6,Bay 28th St,40.601129,-73.997081,0923,57,1
0,70th Ave,40.7286207,-73.8257796,1037,64,1
0,E 193rd St,40.8662238,-73.8968645,1054,66,1
6,E 94th St,40.6529818,-73.9151623,0948,59,1
0,E 55th St,40.619249,-73.922072,0931,58,1
6,Thayer St,40.863238,-73.926923,0948,59,1
6,Eastern Pky,40.6716077,-73.9624286,0938,58,1
6,56th St,40.6243935,-73.9850787,0914,56,1
0,Division St,40.7144204,-73.9921352,1124,69,1
0,Center Blvd,40.7403076,-73.9609066,1123,69,1
0,Denman St,40.7466175,-73.8747779,0955,60,1
6,Mott St,40.7190494,-73.9964811,1136,70,1
6,3rd Ave,40.8043853,-73.9353347,0950,60,1
0,W 26th St,40.7445213,-73.9907355,1046,65,1
6,3rd Ave,40.8043853,-73.9353347,1142,71,1
6,W 44th St,40.7609247,-73.9945259,1113,68,1
6,Neptune Ave,40.5770026,-74.0023361,1000,61,1
6,W 58th St,40.7671189,-73.9817098,0914,56,1
6,West St,40.596353,-73.971329,0954,60,1
0,98th St,40.651481,-73.833132,0957,60,1
0,Hester St,40.7158068,-73.9905581,1054,66,1
0,5th St,40.6229092,-74.1907603,1140,71,1
0,147th Pl,40.7965574,-73.8218663,1011,62,1
0,Lexington Ave,40.7999294,-73.9406665,0950,60,1
6,Eastern Pky,40.6716077,-73.9624286,1110,68,1
6,31st St,40.7681197,-73.920358,0855,54,1
6,Eastern Pky,40.6716077,-73.9624286,0947,59,1
6,Forbell St,40.6833936,-73.8653175,0903,55,1
6,E 11th St,40.5827807,-73.9590022,1103,67,1
6,Brighton Beach Ave,40.5773675,-73.9548182,1025,63,1
6,India St,40.732324,-73.954609,0903,55,1
6,Elm Pl,40.8113577,-73.8055399,0911,56,1
6,Avenue A,40.7701702,-73.9513442,0851,54,1
0,E 116th St,40.7971589,-73.9381327,0913,56,1
0,165th St,40.701366,-73.791869,1120,69,1
0,Madison St,40.703974,-73.904124,1141,71,1
6,W 204th St,40.867818,-73.923623,0903,55,1
6,Montauk Ave,40.6793116,-73.8792298,1140,71,1
0,Ocean Ave,40.5835902,-73.9483933,0940,59,1
0,Baxter Ave,40.74704,-73.882989,1033,64,1
6,W 9th St,40.7341355,-73.9989395,0934,58,1
6,Madison Ave,40.7427202,-73.9866348,0921,57,1
6,3rd Ave,40.8043853,-73.9353347,0936,58,1
6,Sherman Ave,40.8338418,-73.915861,0945,59,1
6,Grand Concourse,40.8791041,-73.8845682,1025,63,1
6,Lefferts Blvd,40.6657772,-73.8223616,0937,58,1
0,165th St,40.701366,-73.791869,1127,69,1
6,37th Ave,40.7626091,-73.8267626,1037,64,1
0,Lowerre Pl,40.890244,-73.860298,0902,55,1
0,Boerum Pl,40.6897692,-73.9900364,1134,70,1
0,42nd Rd,40.749424,-73.940535,1101,67,1
6,Mott St,40.7190494,-73.9964811,0850,54,1
6,Morris Park Ave,40.8467876,-73.8591616,0851,54,1
6,E 76th St,40.6333615,-73.9159757,1059,66,1
6,Jerome Ave,40.8446726,-73.9145136,0912,56,1
6,Coney Island Ave,40.582634,-73.959993,0923,57,1
0,86th St,40.622811,-74.0282979,1000,61,1
0,Mount Carmel Pl,40.7398561,-73.977742,1106,67,1
0,E 205th St,40.8750436,-73.8846673,1115,68,1
0,3rd Ave,40.8043853,-73.9353347,1135,70,1
6,3rd Ave,40.8043853,-73.9353347,0932,58,1
6,Flatbush Ave,40.6093889,-73.9217935,1120,69,1
6,Metropolitan Ave,40.7140735,-73.9547586,0943,59,1
0,Riverside Dr,40.8424364,-73.9440228,1030,64,1
0,E 169th St,40.8313794,-73.9010022,0903,55,1
6,3rd Ave,40.8043853,-73.9353347,1003,61,1
0,Boerum Pl,40.6897692,-73.9900364,1114,68,1
6,Flatbush Ave,40.6093889,-73.9217935,1044,65,1
6,E 70th St,40.620864,-73.909819,1144,71,1
0,89th St,40.750432,-73.877802,1128,69,1
0,W 48th St,40.7604965,-73.9857348,1048,65,1
0,E 16th St,40.595029,-73.954735,1133,70,1
6,Teller Ave,40.830936,-73.912395,0950,60,1
6,Boerum Pl,40.6897692,-73.9900364,0931,58,1
6,80th St,40.6793809,-73.8589845,1107,67,1
6,Walton Ave,40.83644,-73.918412,0854,54,1
0,Case St,40.747262,-73.874442,1102,67,1
6,E 69th St,40.6203939,-73.910542,1051,66,1
6,Albany Cres,40.8788262,-73.903344,1107,67,1
0,Broadway,40.892084,-73.8971095,1042,65,1
6,Sherman Ave,40.8338418,-73.915861,0900,55,1
6,Eastern Pky,40.6716077,-73.9624286,1049,65,1
0,Bard Ave,40.624485,-74.104443,1138,70,1
6,Queens Blvd,40.7127672,-73.8275685,0940,59,1
0,164th St,40.7382043,-73.8045817,1144,71,1
6,E 87th St,40.648106,-73.918515,0927,57,1
6,8th Ave,40.74658,-73.9975495,0904,55,1
6,Eastern Pky,40.6716077,-73.9624286,1115,68,1
0,Roosevelt Ave,40.746238,-73.897224,1124,69,1
0,Case St,40.747262,-73.874442,1037,64,1
0,Cedar St,40.617409,-73.958977,1117,68,1
0,Roosevelt Ave,40.746238,-73.897224,1109,67,1
0,Morris Ave,40.8113652,-73.9270455,1130,70,1
6,W 70th St,40.7795155,-73.9879153,0952,60,1
